FOV,Round,Channel,Spot Count
X10_Y5,1,Atto_425,3276
X10_Y5,1,DAPI,311
X10_Y5,1,Alexa_488,790
X10_Y5,1,Alexa_568,514
X10_Y5,1,Alexa_647,666
X10_Y5,1,Atto_490LS,878
X10_Y5,2,Atto_425,591
X10_Y5,2,DAPI,356
X10_Y5,2,Alexa_488,484
X10_Y5,2,Alexa_568,651
X10_Y5,2,Alexa_647,641
X10_Y5,2,Atto_490LS,753
X10_Y5,3,Atto_425,512
X10_Y5,3,DAPI,274
X10_Y5,3,Alexa_488,728
X10_Y5,3,Alexa_568,281
X10_Y5,3,Alexa_647,459
X10_Y5,3,Atto_490LS,807
X10_Y5,4,Atto_425,4276
X10_Y5,4,DAPI,298
X10_Y5,4,Alexa_488,461
X10_Y5,4,Alexa_568,636
X10_Y5,4,Alexa_647,161
X10_Y5,4,Atto_490LS,784
FOV,Round,Channel,Spot Count
X16_Y15,1,Atto_425,61
X16_Y15,1,DAPI,97
X16_Y15,1,Alexa_488,88
X16_Y15,1,Alexa_568,273
X16_Y15,1,Alexa_647,240
X16_Y15,1,Atto_490LS,350
X16_Y15,2,Atto_425,115
X16_Y15,2,DAPI,107
X16_Y15,2,Alexa_488,251
X16_Y15,2,Alexa_568,98
X16_Y15,2,Alexa_647,89
X16_Y15,2,Atto_490LS,290
X16_Y15,3,Atto_425,54
X16_Y15,3,DAPI,79
X16_Y15,3,Alexa_488,357
X16_Y15,3,Alexa_568,126
X16_Y15,3,Alexa_647,37
X16_Y15,3,Atto_490LS,338
X16_Y15,4,Atto_425,41
X16_Y15,4,DAPI,83
X16_Y15,4,Alexa_488,196
X16_Y15,4,Alexa_568,273
X16_Y15,4,Alexa_647,128
X16_Y15,4,Atto_490LS,336
FOV,Round,Channel,Spot Count
X12_Y2,1,Atto_425,701
X12_Y2,1,DAPI,248
X12_Y2,1,Alexa_488,759
X12_Y2,1,Alexa_568,366
X12_Y2,1,Alexa_647,544
X12_Y2,1,Atto_490LS,726
X12_Y2,2,Atto_425,550
X12_Y2,2,DAPI,272
X12_Y2,2,Alexa_488,475
X12_Y2,2,Alexa_568,613
X12_Y2,2,Alexa_647,1019
X12_Y2,2,Atto_490LS,668
X12_Y2,3,Atto_425,406
X12_Y2,3,DAPI,263
X12_Y2,3,Alexa_488,658
X12_Y2,3,Alexa_568,245
X12_Y2,3,Alexa_647,63
X12_Y2,3,Atto_490LS,667
X12_Y2,4,Atto_425,3928
X12_Y2,4,DAPI,233
X12_Y2,4,Alexa_488,338
X12_Y2,4,Alexa_568,627
X12_Y2,4,Alexa_647,124
X12_Y2,4,Atto_490LS,694
FOV,Round,Channel,Spot Count
X10_Y12,1,Atto_425,1396
X10_Y12,1,DAPI,381
X10_Y12,1,Alexa_488,78
X10_Y12,1,Alexa_568,649
X10_Y12,1,Alexa_647,952
X10_Y12,1,Atto_490LS,1117
X10_Y12,2,Atto_425,841
X10_Y12,2,DAPI,375
X10_Y12,2,Alexa_488,574
X10_Y12,2,Alexa_568,764
X10_Y12,2,Alexa_647,391
X10_Y12,2,Atto_490LS,935
X10_Y12,3,Atto_425,566
X10_Y12,3,DAPI,313
X10_Y12,3,Alexa_488,959
X10_Y12,3,Alexa_568,398
X10_Y12,3,Alexa_647,223
X10_Y12,3,Atto_490LS,982
X10_Y12,4,Atto_425,3484
X10_Y12,4,DAPI,354
X10_Y12,4,Alexa_488,457
X10_Y12,4,Alexa_568,978
X10_Y12,4,Alexa_647,230
X10_Y12,4,Atto_490LS,978
FOV,Round,Channel,Spot Count
X18_Y9,1,Atto_425,3960
X18_Y9,1,DAPI,168
X18_Y9,1,Alexa_488,2650
X18_Y9,1,Alexa_568,216
X18_Y9,1,Alexa_647,273
X18_Y9,1,Atto_490LS,439
X18_Y9,2,Atto_425,379
X18_Y9,2,DAPI,314
X18_Y9,2,Alexa_488,286
X18_Y9,2,Alexa_568,346
X18_Y9,2,Alexa_647,662
X18_Y9,2,Atto_490LS,385
X18_Y9,3,Atto_425,375
X18_Y9,3,DAPI,170
X18_Y9,3,Alexa_488,337
X18_Y9,3,Alexa_568,234
X18_Y9,3,Alexa_647,12
X18_Y9,3,Atto_490LS,386
X18_Y9,4,Atto_425,3408
X18_Y9,4,DAPI,185
X18_Y9,4,Alexa_488,198
X18_Y9,4,Alexa_568,310
X18_Y9,4,Alexa_647,96
X18_Y9,4,Atto_490LS,400
FOV,Round,Channel,Spot Count
X16_Y4,1,Atto_425,2042
X16_Y4,1,DAPI,294
X16_Y4,1,Alexa_488,130
X16_Y4,1,Alexa_568,400
X16_Y4,1,Alexa_647,569
X16_Y4,1,Atto_490LS,682
X16_Y4,2,Atto_425,510
X16_Y4,2,DAPI,297
X16_Y4,2,Alexa_488,439
X16_Y4,2,Alexa_568,422
X16_Y4,2,Alexa_647,1288
X16_Y4,2,Atto_490LS,653
X16_Y4,3,Atto_425,464
X16_Y4,3,DAPI,276
X16_Y4,3,Alexa_488,598
X16_Y4,3,Alexa_568,158
X16_Y4,3,Alexa_647,81
X16_Y4,3,Atto_490LS,655
X16_Y4,4,Atto_425,3609
X16_Y4,4,DAPI,274
X16_Y4,4,Alexa_488,195
X16_Y4,4,Alexa_568,624
X16_Y4,4,Alexa_647,154
X16_Y4,4,Atto_490LS,693
FOV,Round,Channel,Spot Count
X20_Y2,1,Atto_425,683
X20_Y2,1,DAPI,102
X20_Y2,1,Alexa_488,815
X20_Y2,1,Alexa_568,160
X20_Y2,1,Alexa_647,147
X20_Y2,1,Atto_490LS,279
X20_Y2,2,Atto_425,332
X20_Y2,2,DAPI,234
X20_Y2,2,Alexa_488,286
X20_Y2,2,Alexa_568,149
X20_Y2,2,Alexa_647,1117
X20_Y2,2,Atto_490LS,313
X20_Y2,3,Atto_425,246
X20_Y2,3,DAPI,84
X20_Y2,3,Alexa_488,208
X20_Y2,3,Alexa_568,67
X20_Y2,3,Alexa_647,120
X20_Y2,3,Atto_490LS,258
X20_Y2,4,Atto_425,117
X20_Y2,4,DAPI,85
X20_Y2,4,Alexa_488,137
X20_Y2,4,Alexa_568,192
X20_Y2,4,Alexa_647,66
X20_Y2,4,Atto_490LS,258
FOV,Round,Channel,Spot Count
X23_Y8,1,Atto_425,128
X23_Y8,1,DAPI,27
X23_Y8,1,Alexa_488,29
X23_Y8,1,Alexa_568,76
X23_Y8,1,Alexa_647,51
X23_Y8,1,Atto_490LS,84
X23_Y8,2,Atto_425,1
X23_Y8,2,DAPI,36
X23_Y8,2,Alexa_488,1
X23_Y8,2,Alexa_568,52
X23_Y8,2,Alexa_647,294
X23_Y8,2,Atto_490LS,1
X23_Y8,3,Atto_425,1
X23_Y8,3,DAPI,13
X23_Y8,3,Alexa_488,1
X23_Y8,3,Alexa_568,37
X23_Y8,3,Alexa_647,1
X23_Y8,3,Atto_490LS,1
X23_Y8,4,Atto_425,32
X23_Y8,4,DAPI,16
X23_Y8,4,Alexa_488,48
X23_Y8,4,Alexa_568,46
X23_Y8,4,Alexa_647,33
X23_Y8,4,Atto_490LS,83
FOV,Round,Channel,Spot Count
X17_Y0,1,Atto_425,31
X17_Y0,1,DAPI,45
X17_Y0,1,Alexa_488,56
X17_Y0,1,Alexa_568,40
X17_Y0,1,Alexa_647,70
X17_Y0,1,Atto_490LS,79
X17_Y0,2,Atto_425,1
X17_Y0,2,DAPI,74
X17_Y0,2,Alexa_488,1
X17_Y0,2,Alexa_568,56
X17_Y0,2,Alexa_647,415
X17_Y0,2,Atto_490LS,1
X17_Y0,3,Atto_425,1
X17_Y0,3,DAPI,45
X17_Y0,3,Alexa_488,1
X17_Y0,3,Alexa_568,57
X17_Y0,3,Alexa_647,1
X17_Y0,3,Atto_490LS,1
X17_Y0,4,Atto_425,20
X17_Y0,4,DAPI,41
X17_Y0,4,Alexa_488,48
X17_Y0,4,Alexa_568,55
X17_Y0,4,Alexa_647,32
X17_Y0,4,Atto_490LS,78
FOV,Round,Channel,Spot Count
X13_Y10,1,Atto_425,2072
X13_Y10,1,DAPI,294
X13_Y10,1,Alexa_488,833
X13_Y10,1,Alexa_568,691
X13_Y10,1,Alexa_647,763
X13_Y10,1,Atto_490LS,901
X13_Y10,2,Atto_425,742
X13_Y10,2,DAPI,405
X13_Y10,2,Alexa_488,456
X13_Y10,2,Alexa_568,595
X13_Y10,2,Alexa_647,588
X13_Y10,2,Atto_490LS,807
X13_Y10,3,Atto_425,915
X13_Y10,3,DAPI,247
X13_Y10,3,Alexa_488,763
X13_Y10,3,Alexa_568,262
X13_Y10,3,Alexa_647,79
X13_Y10,3,Atto_490LS,835
X13_Y10,4,Atto_425,3723
X13_Y10,4,DAPI,217
X13_Y10,4,Alexa_488,261
X13_Y10,4,Alexa_568,794
X13_Y10,4,Alexa_647,220
X13_Y10,4,Atto_490LS,822
FOV,Round,Channel,Spot Count
X14_Y14,1,Atto_425,1094
X14_Y14,1,DAPI,240
X14_Y14,1,Alexa_488,140
X14_Y14,1,Alexa_568,705
X14_Y14,1,Alexa_647,812
X14_Y14,1,Atto_490LS,941
X14_Y14,2,Atto_425,679
X14_Y14,2,DAPI,271
X14_Y14,2,Alexa_488,271
X14_Y14,2,Alexa_568,687
X14_Y14,2,Alexa_647,532
X14_Y14,2,Atto_490LS,845
X14_Y14,3,Atto_425,432
X14_Y14,3,DAPI,236
X14_Y14,3,Alexa_488,833
X14_Y14,3,Alexa_568,694
X14_Y14,3,Alexa_647,112
X14_Y14,3,Atto_490LS,818
X14_Y14,4,Atto_425,3354
X14_Y14,4,DAPI,257
X14_Y14,4,Alexa_488,262
X14_Y14,4,Alexa_568,894
X14_Y14,4,Alexa_647,220
X14_Y14,4,Atto_490LS,845
FOV,Round,Channel,Spot Count
X15_Y13,1,Atto_425,1205
X15_Y13,1,DAPI,271
X15_Y13,1,Alexa_488,69
X15_Y13,1,Alexa_568,631
X15_Y13,1,Alexa_647,901
X15_Y13,1,Atto_490LS,1069
X15_Y13,2,Atto_425,766
X15_Y13,2,DAPI,354
X15_Y13,2,Alexa_488,155
X15_Y13,2,Alexa_568,556
X15_Y13,2,Alexa_647,731
X15_Y13,2,Atto_490LS,935
X15_Y13,3,Atto_425,569
X15_Y13,3,DAPI,283
X15_Y13,3,Alexa_488,875
X15_Y13,3,Alexa_568,391
X15_Y13,3,Alexa_647,593
X15_Y13,3,Atto_490LS,932
X15_Y13,4,Atto_425,2572
X15_Y13,4,DAPI,255
X15_Y13,4,Alexa_488,312
X15_Y13,4,Alexa_568,972
X15_Y13,4,Alexa_647,216
X15_Y13,4,Atto_490LS,976
FOV,Round,Channel,Spot Count
X21_Y3,1,Atto_425,642
X21_Y3,1,DAPI,114
X21_Y3,1,Alexa_488,328
X21_Y3,1,Alexa_568,213
X21_Y3,1,Alexa_647,175
X21_Y3,1,Atto_490LS,288
